,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step
85,0.25,0.75,,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",858,1637026926,0
86,0.75,0.25,,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",855,1637026926,0
87,0.5,0.5,,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",870,1637026991,0
88,0.25,0.75,,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",854,1637027024,0
89,0.75,0.25,,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",815,1637026883,0
90,0.5,0.5,,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",826,1637026897,0
91,0.25,0.75,,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",845,1637026967,0
92,0.75,0.25,,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",821,1637026889,0
93,0.5,0.5,,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",818,1637026889,0
94,0.25,0.75,,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",837,1637026952,0
95,0.75,0.25,,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",826,1637026894,0
96,0.5,0.5,,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",825,1637026897,0
97,0.25,0.75,,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",869,1637026988,0
98,0.75,0.25,,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",855,1637027027,0
99,0.5,0.5,,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",831,1637026898,0
100,0.25,0.75,,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637026930,0
101,0.75,,0.25,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",865,1637026983,0
